species_work,priority,plant_growth_form,life_history,woodiness,fruit_type,fruit_fleshiness,fruit_fleshiness_source,fruit_colour,growth_substrate,plant_height,seed_dry_mass,leaf_mass_per_area,leaf_length,leaf_width,leaf_area,leaf_N_per_dry_mass,seed_length,seed_width,fruit_length,fruit_width,wood_density
Corybas diemenicus,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.04,0.001,,20.2,17.6,314,,,,,,
Corybas expansus,,herb,perennial,herbaceous,,,,,terrestrial,,,,21.2,21.2,,,,,,,
Corybas incurvus,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.05,0.001,,18.3,18.6,314,,,,,,
Corybas unguiculatus,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.03,0.001,,17.3,15.7,,,,,,,
Cryptostylis subulata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.9,0.001,71.4,99.5,18.9,1290,,,,,,
Cyrtostylis reniformis,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.27,0.001,,23.3,19.3,1100,,,,,,
Cyrtostylis robusta,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.3,0.005,,28.9,26.2,,,,,,,
Diuris brevifolia,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.4,,,91.7,3.46,,,,,,,
Diuris orientis,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.4,0.001,,162,7.4,1570,,,,,,
Eriochilus cucullatus,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.3,0.001,,15.5,6.7,330,,,,,,
Gastrodia sesamoides,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,brown,terrestrial,0.8,,,,,1490,,,,12.6,5.92,
Corunastylis ciliata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.15,,,80.6,,,,,,,,
Corunastylis nigricans,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.25,,,141,,,,,,,,
Corunastylis rufa,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.3,,,118,,,,,,,,
Glossodia major,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.35,0.0117,,53.6,17.3,7070,,,,,,
Leporella fimbriata,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,terrestrial,0.25,0.00224,,24,10.6,,,,,,,
Leptoceras menziesii,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.3,0.001,,64,15.3,1490,,,,,,
Microtis arenaria,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.4,0.001,,308,3.87,,,,,,,
Microtis atrata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.09,0.001,,59,3,,,,,,,
Microtis frutetorum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.6,,,316,6.32,,,,,,,
Microtis orbicularis,priority,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,terrestrial,0.35,,,132,2.71,196,,,,,,
Microtis parviflora,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.5,0.001,,245,4.1,1470,,,,,,
Microtis rara,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.5,0.001,,292,3.6,1470,,,,,,
Orthoceras strictum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.8,0.00155,,146,2.45,707,,,,,,
Caleana disjuncta,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.1,,,17.3,4.16,,,,,,,
Pheladenia deformis,priority,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,terrestrial,0.15,0.001,38.6,57,3.24,1650,,,,,,
Prasophyllum australe,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.9,0.00107,,332,8.37,5140,,,,,,
Prasophyllum calcicola,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.08,,,172,2.83,,,,,,,
Prasophyllum elatum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,1.5,0.00224,,447,10.3,5140,,,,,,
Prasophyllum occidentale,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.2,,,150,2.45,,,,,,,
Prasophyllum occultans,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,,,,300,3.87,,,,,,,
Prasophyllum odoratum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.7,0.001,,592,4,5140,,,,,,
Pterostylis alata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.25,,,13.4,7.48,545,,,,,,
Pterostylis erythroconcha,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.13,,,60.6,5.57,,,,,,,
Pterostylis falcata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.3,0.001,,45.8,19.1,,,,,,,
Pterostylis foliata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.3,,,40,13.4,628,,,,,,
Pterostylis melagramma,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.8,0.001,,23.9,6.13,545,,,,,,
Pterostylis nutans,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.2,6.21e-4,24.8,33.8,15.4,545,,,,,,
Pterostylis pedunculata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.22,0.001,17.3,26.3,11.3,919,,,,,,
Pterostylis plumosa,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.3,0.001,,21.5,7.46,353,,,,,,
Pterostylis sanguinea,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,terrestrial,0.4,0.001,,22.9,8.62,545,,,,,,
Pterostylis monticola,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.4,,,52.4,19.4,,,,,,,
Spiranthes australis,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.5,,,115,8.11,,,,,,,
Thelymitra antennifera,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.25,0.001,,99.3,2.4,283,,,,,,
Thelymitra arenaria,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.2,5.47e-4,,212,12,1650,,,,,,
Thelymitra azurea,,herb,perennial,herbaceous,,,,,terrestrial,0.45,,,164,4.9,,,,,,,
Thelymitra benthamiana,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,terrestrial,0.4,,,104,24.1,,,,,,,
Thelymitra bracteata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.8,,,300,11,,,,,,,
Thelymitra flexuosa,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.35,0.001,,83.4,2.45,1650,,,,,,
Thelymitra grandiflora,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.75,,,200,17.3,,,,,,,
Thelymitra holmesii,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.4,0.0012848999999999998,,189,5.48,2750,,,,,,
Thelymitra luteocilium,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.37,,,127,5.03,,,,,,,
Thelymitra x macmillanii,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,,,,102,3.16,,,,,,,
Thelymitra matthewsii,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.2,,,50.7,2.55,,,,,,,
Thelymitra megcalyptra,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.3,,,173,13.8,,,,,,,
Thelymitra mucida,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.5,,,158,3.56,,,,,,,
Thelymitra nuda,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.6,0.001,,163,9.82,3140,,,,,,
Thelymitra pauciflora,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.5,3.16e-4,310,192,5.19,671,,,,,,
Thelymitra rubra,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.5,0.001,,148,1.58,1650,,,,,,
Cycas media,,palmoid,perennial,semi-woody,,,,,,6,,,174,7.32,,,34.7,30.7,,,
Alyxia ruscifolia,,shrub,perennial,woody,berry drupe,fleshy,AusTraits consensus,,,2.5,99.1,146,25.6,10.9,82.5,11,10.2,8.06,11.8,8.66,0.678
Ochrosia elliptica,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,red,,6,,,96.7,41.8,,,42.3,19.4,48.2,27.1,
Aristolochia pubera,,climber_herbaceous,perennial,herbaceous,capsule utricle,dry,AusTraits consensus,,,,,,45.9,33.2,,,4.55,3.46,9.71,12.3,
Coronidium boormanii,,herb,perennial,herbaceous,achene,dry,Inferred from fruit type,brown,,1.5,0.564,,63.2,1.34,,,2.24,0.77,2.5,,
Apowollastonia spilanthoides,,herb,perennial,herbaceous,achene,dry,Inferred from fruit type,black grey,,0.5,1.49,,44,3.76,,,,,2.74,1.1,
Chamaecrista mimosoides,,herb,annual perennial,herbaceous,legume,dry,AusTraits consensus,brown,,1.5,2.79,,2.74,0.669,,,3.08,1.88,41.1,4.1,
Denhamia disperma,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,15,25,,50.5,20,,,5.73,3.46,8.27,5.48,0.774
Ipomoea littoralis,,climber_herbaceous,perennial,herbaceous,capsule,dry,AusTraits consensus,,,,,,63.2,51.2,,,4,3.46,6.71,9.95,
Euphorbia litticola,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.6,,,19,10.2,,,1.84,1.79,,,
Cajanus marmoratus,,climber_herbaceous,perennial,herbaceous,legume,dry,Inferred from fruit type,green red,,,,,40.6,37.2,,,4.24,3.82,22,13.4,
Vigna mungo,,climber_herbaceous,annual,herbaceous,legume,dry,Inferred from fruit type,,,3,100.00000000000004,,,,,,,,,,
Amyema congener,,shrub,perennial,woody,berry drupe,fleshy,AusTraits consensus,,epiphyte terrestrial,,20.3,,52,19.3,,,,,8,8,
Malvastrum americanum,,herb,annual perennial,semi-woody,capsule mericarp schizocarp,dry,Inferred from fruit type,brown,,1.3,1.59,140,28.3,18.2,350,18.3,2.05,1.99,3.25,4,
Desmanthus virgatus,,herb,perennial,semi-woody,legume,dry,Inferred from fruit type,brown,,2,3.807509051152977,,4.88,2.21,,,2.74,1.73,50,,
Eucalyptus alba,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,15,1.36,,112,34.1,,12.4,1.73,,5.29,6.32,0.833
Corymbia papuana,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,40,3.21,334,140,24.2,,9.2,,3.46,8.37,7.35,0.87
Olea paniculata,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,black blue,,30,93.2,60.3,78.3,30,3310,,10.8,5.66,10.5,7.75,0.753
Pittosporum venulosum,,tree,perennial,woody,berry capsule,dry,AusTraits consensus,brown,,30,4.05,,93.8,40.1,,,4.44,2.67,14.3,12.4,
Diuris punctata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.6,0.001,,177,3.64,,,,,,,
Digitaria divaricatissima,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1,0.987,53.1,83.1,3.87,257,,,,,,
Panicum decompositum,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1,0.629,88,172,5.45,1300,7.29,0.56,0.29,1.5,,
Setaria paspalidioides,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,1,,,116,6,,,1.75,,,,
Acacia holosericea,,shrub tree,perennial,woody,legume,dry,AusTraits consensus,brown red,,8,6.87,192,140,32.1,2840,22.6,4.47,2.45,60,3.55,0.577
Acacia leptostachya,,shrub tree,perennial,woody,legume,dry,AusTraits consensus,,,6,3.98,180,60,4.9,706,11.2,3.29,,60,4.24,0.704
Acacia spirorbis,,tree,perennial,woody,legume,dry,AusTraits consensus,,,12,,,119,9.16,,,3.97,2.45,100,4.03,
Ailanthus triphysa,,tree,perennial,woody,samara,dry,AusTraits consensus,brown,,45,42,,60.6,14.1,,,4.9,4.9,58,32.1,0.373
Alectryon connatus,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange red,,20,25.8,102,73.6,30,,,4.47,4.47,9.86,13.1,
Alectryon reticulatus,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,10,,,72.1,38.7,,,5,5,11.5,10.7,
Aneilema acuminatum,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.4,0.92,62.2,63.2,15.8,403,,,,4,,
Asplenium australasicum,,fern,perennial,herbaceous,,,,,,1,,,805,93.2,,,,,,,
Asplenium polyodon,,fern,perennial,herbaceous,,,,,epiphyte lithophyte,,,63.8006072109058,58.9,12.8,,,,,,,
Atalaya multiflora,,tree,perennial,woody,samara,dry,AusTraits consensus,,,25,,,69.3,24.5,,,5.48,4.47,9.39,14,
Atalaya rigida,,tree,perennial,woody,samara,dry,AusTraits consensus,,,8,,,120,64.2,,,5.48,3.87,17.4,16,
Austrosteenisia blackii,,climber_woody,perennial,woody,legume legume_indehiscent,dry,AusTraits consensus,,,,18.6,26.2,52,27.4,2520,41.5,6.32,4.47,57.4,14.2,0.479
Balanophora fungosa,,herb,perennial,herbaceous,drupe nut,dry,AusTraits consensus,,,0.1,,,20.6,15.7,,,,,,,
Baloghia inophylla,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,brown,,24,53.9,123,68.6,29.6,4010,,8.37,6.19,13,15.2,0.599
Bothriochloa decipiens,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,2,0.641,,122,3.29,338,,2.15,,,,
Mezoneuron brachycarpum,,climber_woody,perennial,woody,legume,dry,AusTraits consensus,,,,,,16.1,5.73,,,11,10,26.4,14.1,
Carissa ovata,,climber_woody,perennial,woody,berry,fleshy,AusTraits consensus,black purple red,,4,,140,17.7,13.9,315,,6.48,3.46,14.8,10.1,0.62
Cassia brewsteri,,tree,perennial,woody,legume legume_indehiscent,dry,AusTraits consensus,,,20,132,,46.9,21.2,,,9.86,6.93,279,17.6,0.703
Cassia tomentella,,tree,perennial,woody,legume legume_indehiscent,dry,AusTraits consensus,,,10,85.8,,49,20,,,6.74,6.48,212,12.2,
Chloris lobata,,graminoid,annual,herbaceous,caryopsis,dry,AusTraits consensus,yellow,,0.45,0.184,,34.1,0.795,27.6,,1.9,,1.94,,
Cleistanthus dallachyanus,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,12,,,45.5,22.2,,,3.46,2.45,7.07,6.71,
Commelina cyanea,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.1,17.5,,41.4,8.66,,40.4,2.45,,,,
Crotalaria mitchellii,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,1,11.4,,58.3,20,,,4,,24.5,,
Croton acronychioides,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,brown,,14,,,61.2,26.3,,,6.48,4.47,8.77,7.75,
Croton phebalioides,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,4,,,33.9,13.8,,,4.9,2.45,7.35,7.75,
Cupaniopsis simulata,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,25,,,94.9,37.1,,,6.93,4.47,21.8,19.4,
Cupaniopsis wadsworthii,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,12,,80.6,21.3,21.3,3840,,11.4,5.48,12.8,14.1,
Cymbopogon queenslandicus,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.5,,,274,5.48,1270,,,,,,
Dockrillia bowmanii,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte,,,,65.1,2.83,,,,,,,
Dendrobium speciosum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte,0.4,0.00539,,145,45.3,,,,,,,
Dendrophthoe glabrescens,,shrub,perennial,woody,berry,fleshy,AusTraits consensus,red yellow,epiphyte terrestrial,,48.4,,75.5,24.7,,,,,11.4,,
Dissiliaria baloghioides,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,36,68.1,104,81.2,37.4,2830,,9.79,4.73,15.9,18.2,0.848
Dodonaea lanceolata,,shrub,perennial,woody,capsule,dry,AusTraits consensus,red,,15,4.13,,44.4,12.7,,,2.99,2.4,16.1,16.3,
Blechnum parrisiae,,fern,perennial,herbaceous,,,,,terrestrial,0.7,,,20,4.82,179,,,,,,
Elattostachys xylocarpa,,tree,perennial,woody,capsule,dry,AusTraits consensus,green pink yellow,,25,,98,53.4,22.8,2410,,6.93,3.46,17.3,18.2,0.675
Fimbristylis sieberiana,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,yellow,,0.6,,,350,,,,,,,,
Fimbristylis velata,,graminoid,annual,herbaceous,nut,dry,Inferred from fruit type,brown yellow,,0.25,0.103,,14.1,0.548,,,,,0.693,0.5,
Meiogyne heteropetala,,shrub tree,perennial,woody,berry,fleshy,AusTraits consensus,,,5,,,69,31.1,,,10.7,7.48,27.6,14.1,
Glochidion harveyanum,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,18,11.5,94.9,94.3,46.8,5050,14.1,5.08,2.91,8,14.6,0.649
Harpullia hillii,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange yellow,,20,,,90.1,35.8,,,9.8,7.48,14.3,31.3,0.765
Harpullia pendula,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange red yellow,,25,423,96,76.7,29.9,13200,,8.94,6.93,16.3,22.8,0.749
Ischaemum triticeum,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,2,,,15.6,7.14,877,,,,,,
Lastreopsis tenera,,fern,perennial,herbaceous,,,,,terrestrial,,,,418,346,,,,,,,
Leptospermum brachyandrum,,shrub tree,perennial,woody,capsule,dry,Inferred from fruit type,,,6,0.0318,95.2,31.6,2.83,91.4,,,,,,0.71
Melia azedarach,priority,tree,perennial,woody,drupe,dry fleshy,AusTraits consensus,brown orange yellow,,15,49.8,48.4,39.3,16.5,993,35.2,6.48,4.47,19.1,12.2,0.387
Miliusa brahei,,tree,perennial,woody,berry,fleshy,AusTraits consensus,,,20,,,78.4,30.1,,,8.15,5.92,15.6,12.2,
Mischocarpus anodontus,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,orange red,,30,,,67.5,33.8,,,13.4,8.94,24.5,11,0.65
Mischocarpus pyriformis,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange red yellow,,30,,156,77,39.4,17400,,9.49,8.49,19.3,7.19,0.6
Panicum simile,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.7,0.914,53.4,67.1,1.87,97.1,29,,,,,
Pellaea nana,,fern,perennial,herbaceous,,,,,terrestrial,,,95.34529894713631,10.6,4.18,,,,,,,
Peperomia blanda,,herb,perennial,herbaceous,drupe,fleshy,Inferred from fruit type,,,0.3,0.243,,22.4,17.3,,,,,0.824,0.6,
Piper interruptum,,climber_herbaceous,perennial,herbaceous,berry drupe,fleshy,AusTraits consensus,black green,epiphyte,,,,106,51.8,,,2.45,2.45,3.46,3.16,
Pisonia aculeata,,climber_woody,perennial,woody,achene nut,dry fleshy,AusTraits consensus,,,15,96.8,53.40727580947024,46.8,22.4,8610,,6.93,1.41,11,2.57,
Pleioluma laurifolia,,tree,perennial,woody,berry,fleshy,Inferred from fruit type,black brown green,,20,,,106,35,,,12,,16.7,12,0.604
Planchonella pubescens,,tree,perennial,woody,berry,fleshy,AusTraits consensus,,,15,,,22.4,12.2,,,10.4,4.47,,,
Planchonella pohlmaniana,,shrub tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black purple yellow,,8,235,88.8,90.4,34.1,,25.9,11.4,6.93,22.8,19.5,0.675
Samadera bidwillii,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,red,,6,,,100,15.5,,,5.48,4.47,7.07,,
Sambucus australasica,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,yellow,,4,1.89,41,44.7,11,3520,,3.72,1.41,5.48,5.48,0.36
Sarcopetalum harveyanum,,climber_woody,perennial,woody,drupe,fleshy,AusTraits consensus,purple red,,3,10.9,71.4,114,91,3090,,6,4.9,7.75,7,0.43
Austrostipa scabra,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.6,0.823,150,104,1.24,278,,3.88,1.5,,,
Syzygium oleosum,,shrub tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,blue pink purple,,12,210,86.3,58.7,27,1690,13.9,6.45,5.78,14.6,14.6,0.7
Tephrosia brachyodon,,herb,annual perennial,semi-woody,legume,dry,Inferred from fruit type,brown,,0.6,11.3,,26.5,3.56,,,3.03,2.07,36.4,3.97,
Tragia novae-hollandiae,,climber_herbaceous,perennial,herbaceous,capsule,dry,AusTraits consensus,,,,,,52,23.7,13400,,3.5,2.45,6.63,6,
Zanthoxylum brachyacanthum,,shrub tree,perennial,woody,capsule follicle mericarp,dry,AusTraits consensus,orange red,,25,38.34000000000001,74.5,52.4,22.4,9970,,5.23,5.23,7.91,7.91,0.619
Cheilanthes distans,,fern,perennial,herbaceous,,,,,terrestrial,0.4,,138.4472078855582,2.45,,,,,,,,
Platycerium bifurcatum,,fern,perennial,herbaceous,,,,,epiphyte,,,,477,169,,,,,,,
Cordyline manners-suttoniae,,shrub,perennial,woody,berry,fleshy,AusTraits consensus,red,,5,12,,477,84.9,46800,,4,,11,11.6,0.863
Cordyline murchisoniae,,shrub,perennial,woody,berry,fleshy,AusTraits consensus,red,,1,,,122,38.7,,,,,10,10,
Phoenix dactylifera,,palmoid,perennial,semi-woody,drupe,fleshy,new flora data,black brown orange yellow,,8,1101.1518973255409,,541,20,,,24,8,52.9,24.5,
Aloe arborescens,priority,palmoid,perennial,semi-woody,capsule,dry,Inferred from fruit type,,,3,1.5460448311125659,,428,48.9,,,,,,,
Diuris alba,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.4,,,173,2.45,,,,,,,
Aristida spuria,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.91,,,98,1.39,30,,6.2,,6.2,,
Urochloa decumbens,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,2,3.47,,100,7.49,825,,,,,,
Dactyloctenium australe,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.8,,28.011635374245817,116,3.26,336,,,,1.51,,
Dichanthium tenue,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.7,,,102,2.31,181,,2.5,,2.5,,
Digitaria didactyla,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.7,0.195,,43.6,2.06,125,,,,,,
Eragrostis tenuifolia,priority,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown red,,0.92,0.163,,110,1.86,255,,,,1.14,,
Tripogonella loliiformis,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.55,0.106,56.52911249293385,27.4,0.709,33.2,,,,1.48,0.316,
Plumeria obtusa,,tree,perennial,woody,,,,,,8,42.24000000000001,,,,,,,,,,
Heptapleurum arboricola,,shrub,perennial,woody,drupe,fleshy,Inferred from fruit type,,,9,,,,,,,,,,,
Erigeron primulifolius,,herb,perennial,herbaceous,achene,dry,Inferred from fruit type,,,1.5,,,165,16.6,,,,,2,,
Gamochaeta pensylvanica,priority,herb,annual,herbaceous,achene,dry,Inferred from fruit type,brown yellow,,0.5,,,44.7,8.49,,,,,0.387,4,
Gynura drymophila,,herb,perennial,herbaceous,achene nut,dry,AusTraits consensus,brown,,0.5,2.37,,89.4,20,,,,,4.53,,
Coronidium lanuginosum,,herb,perennial,herbaceous,,,,,,,,,,,,,,,,,
Ipomoea cairica,priority,climber_herbaceous,perennial,herbaceous,capsule,dry,AusTraits consensus,,,,34.09559338908834,,58.3,60,,,4.68,,8.99,8.99,
Ipomoea indica,priority,climber_herbaceous,perennial,herbaceous,capsule,dry,AusTraits consensus,,,,,,82.5,68.8,,,,,10,10,
Polymeria calycina,priority,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,,,,26.4,7.58,,,,,4.9,4.9,
Bryophyllum delagoense,priority,herb,perennial,herbaceous,follicle,dry,Inferred from fruit type,,,1.5,,,61.2,,,,,,,,
Kalanchoe glaucescens,,herb,perennial,herbaceous,,,,,,,0.020816783452447925,,,,,,,,,,
Kalanchoe sexangularis,,herb,perennial,semi-woody,follicle,dry,Inferred from fruit type,,,0.6,0.02,,47.7,,,,,,,,
Elaeocarpus obovatus,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,blue,,45,86.2,122,70.7,20,886,,3.87,3.46,8.49,7.94,0.607
Actephila latifolia,,shrub,perennial,woody,capsule,dry,AusTraits consensus,,,6,,,140,52,,,8.49,3.46,15,15.9,
Alchornea thozetiana,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,5,,,52.2,30,,,5.48,6.48,5.81,9.21,
Euphorbia hyssopifolia,priority,herb,perennial,herbaceous,capsule mericarp,dry,Inferred from fruit type,,,0.8,0.6698216500112489,,13.3,5.48,,,1.04,,1.97,,
Euphorbia psammogeton,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,,,,17.3,8.66,,,1.22,,2,2.5,
Jatropha podagrica,,herb,perennial,herbaceous,,,,,,1,,,,,,,,,,,
Homalanthus nutans,,shrub tree,perennial,woody,,,,,,5,,,,,,,,,,,
Cajanus confertiflorus,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,,,,,,,,,,,,
Cajanus scarabaeoides,,climber_herbaceous,perennial,herbaceous,legume,dry,Inferred from fruit type,,,,25.7,42.3186137966147,16.4,23.7,,,4.47,3.46,,,
Grona heterophylla,,herb,perennial,herbaceous,legume,dry,Inferred from fruit type,,,,,,,,,,,,,,
Desmodium uncinatum,,herb,annual perennial,herbaceous,legume,dry,Inferred from fruit type,,,,4.295562444749974,,44.7,24.5,,,,,17.3,,
Glycine clandestina,priority,climber_herbaceous,perennial,herbaceous,legume,dry,AusTraits consensus,,,2,4.03,37.9,17.2,4.31,159,,1.7,1.41,26.5,3.26,
Leptosema oxylobioides,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,0.8,3.56,,,,,,,1.85,,,
Stylosanthes guianensis,,herb,perennial,semi-woody,legume,dry,Inferred from fruit type,,,2,2.8035289458293002,,18.8,6.16,,,,,2.99,1.94,
Velleia spathulata,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.5,1.08,,69.3,17.3,,9.6,1.5,1.5,,,
Plectranthus diversus,,shrub,perennial,woody,,,,,,2,0.115,,,,,,,,,,
Neolitsea dealbata,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,black red,,22,177,90.1,122,47,5860,16.3,5.92,6.71,9.66,9.52,0.463
Hibiscus heterophyllus,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,8,12.6,55.1,96.5,84.9,2830,,3.46,1.41,19.4,12.2,0.36
Acacia aulacocarpa,,shrub tree,perennial,woody,legume,dry,AusTraits consensus,brown red,,15,18.1,104,78.9,15.3,2020,23.7,4.6,2.82,39.6,11,0.611
